Park Type,Wind farm,Turbine Platform,Turbine,Component Failed,Outage cause,Material number,Failed Component Serial number,New Component Serial number,Failure Mode,Component Commisioning Date,Turbine Stopp Date,Jackup Call-off Date,Component Exchange Date,Turbine start date,Estimated Lost Production,Estimated Lost Revenue,Work Order,Main Component Cost,Jackup Cost,Other Project Cost,Jackup vessel,Alarm code 1,Alarm code 2,Alarm code 3,Alarm code 4,Alarm code 5,Alarm code 6,Alarm code 7,Alarm code 8,Alarm code 9,Alarm code 10,Alarm code 11,Alarm code 12,Alarm code 13,Alarm code 14,Alarm code 15,Alarm code 16,Alarm code 17,Alarm code 18,Alarm code 19,Alarm code 20
Offshore,Egmond aan Zee,V90-3MW,NEZ007,Gearbox,,,EF901D/013/LM0110,EF901E-013L/LM0105,Serial Defect,,2009-07-21,,2009-08-07,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ034,Gearbox,,,EF901D-003L/LM0037,EF901E-013L/LM0236,Serial Defect,,2009-07-26,,2009-08-08,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ034,Generator,,,601097TD14,600564SF25,Serial Defect,,,,2009-08-08,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ003,Generator,,,601097TD09,16918700PG05,Serial Defect,,,,2009-08-09,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ006,Gearbox,,,EF901D/013/LM0111,RW EF901E-403L/LM0074,Serial Defect,,2009-08-01,,2009-08-14,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ009,Gearbox,,,RW EF901D-003L/LM0015,RW EF901E-403L/LM0079,Serial Defect,,2009-08-06,,2009-08-17,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ018,Gearbox,,,EF901D-003L/LM0035,RW EF901E-403L/LM0081,Serial Defect,,2009-08-11,,2009-08-18,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ014,Gearbox,,,EF901D-003L/LM0013,RW EF901E-403L/LM0083,Serial Defect,,2009-08-18,,2009-08-23,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ004,Gearbox,,,EF901D-003L/LM0021,RW EF901E-301L/LM0016,Serial Defect,,2009-08-19,,2009-08-24,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Horns Rev 1,V80-2MW,WH1472,Transformer,,40074272,,,,,,,2009-09-01,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ035,Gearbox,,,EF901D-003L/LM0038,RW EF901E-403L/LM0069,Serial Defect,,2009-08-23,,2009-09-08,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ028,Gearbox,,,RW EF901D-003L/LM0012,RW EF901E-403L/LM0070,Serial Defect,,2009-08-25,,2009-09-18,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ029,Gearbox,,,EF901D-003L/LM0326,RW EF901E-403L/LM0072,Serial Defect,,2009-09-08,,2009-09-19,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Offshore,Egmond aan Zee,V90-3MW,NEZ003,Generator,,,16918700PG05,VND620842,Serial Defect,,,,2009-09-19,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
